MolWt,HeavyAtomCount,HeavyAtomMolWt,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumRadicalElectrons,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumSaturatedHeterocycles,Logp,TPSA,QED,gap
274.34900000000005,19,250.157,9,5,9,3,111,0,0,1,1,0,1,0,0,0,0,-1.394509999999996,124.4,0.3144629437655123,4.1660676
196.29000000000002,14,176.12999999999997,2,1,2,7,80,0,1,1,0,1,0,0,0,1,0,3.413100000000002,29.46,0.3838920232402684,6.862736
228.42600000000002,14,208.266,1,0,2,6,80,0,0,1,0,0,1,0,0,0,0,3.8792000000000026,0.0,0.49096033360103686,4.022824
229.36399999999992,16,202.14799999999997,3,1,3,1,96,0,1,1,0,0,1,0,0,0,1,2.3519000000000005,30.49,0.7484688438813469,7.8350983
205.36699999999996,13,182.18299999999996,3,2,3,9,80,0,0,0,0,0,0,0,0,0,0,1.8671000000000002,46.25,0.5648844514518503,6.3836637
246.37599999999998,16,224.19999999999996,5,3,5,10,94,0,0,0,0,0,0,0,0,0,0,1.5007,61.36,0.23593274536791004,5.6916094
180.29099999999997,13,160.13099999999997,1,1,1,1,74,0,0,1,0,1,0,0,0,0,0,3.2040000000000015,20.23,0.6566689592746433,6.4483404
181.32599999999996,10,166.206,2,2,4,5,62,0,0,0,0,0,0,0,0,0,0,0.7665,21.259999999999998,0.48304553677513745,4.132941
182.31099999999995,13,160.135,2,1,2,9,76,0,0,0,0,0,0,0,0,0,0,2.760700000000001,24.39,0.3308119386239207,5.3052783
218.33699999999996,15,192.12899999999996,3,1,3,10,92,0,0,0,0,0,0,0,0,0,0,2.716800000000001,38.69,0.4524235480614026,9.145513
203.28199999999998,14,182.11399999999998,4,1,4,8,84,0,0,0,0,0,0,0,0,0,0,1.6494,47.56,0.48110107664755614,6.779047
256.38599999999997,18,228.16199999999995,3,0,3,1,106,0,2,2,0,0,2,0,0,0,2,3.3709000000000024,27.69,0.7196525533928843,8.855236
233.30799999999996,16,210.12399999999997,5,3,5,5,96,0,1,1,0,0,1,0,0,0,1,0.06599999999999995,70.95,0.5860204762598883,8.3117695
200.32199999999995,14,176.12999999999997,2,0,2,9,84,0,1,1,0,1,0,0,0,1,0,3.008300000000002,18.46,0.5326265032266808,9.005496
129.24699999999999,9,110.09499999999998,1,1,1,3,56,0,0,0,0,0,0,0,0,0,0,2.0174,26.02,0.6195343395442615,8.126455
223.366,14,210.26199999999997,3,1,3,2,74,1,0,0,0,0,0,0,1,0,0,3.6067000000000022,12.89,0.6074072884332188,5.0986996
198.37499999999994,13,176.19899999999996,0,0,1,4,76,0,0,0,0,0,0,0,0,0,0,3.536900000000003,0.0,0.4786553226095155,4.069294
159.254,10,146.14999999999998,3,2,3,3,58,0,1,1,0,1,0,0,0,1,0,1.1055,32.59,0.46899484380444567,6.190947
218.29599999999994,16,200.15199999999996,2,1,2,2,86,0,0,1,0,1,0,0,0,0,0,2.741100000000001,29.46,0.4385029293990405,4.1067677
172.25199999999998,12,154.108,3,2,4,5,71,0,1,1,1,0,1,0,0,0,1,-0.1748999999999996,61.38,0.44670508056770714,6.5268583
195.306,14,174.13799999999998,2,1,2,8,80,0,0,1,0,1,0,0,0,0,0,2.6119000000000003,35.25,0.47707329808607973,4.7711554
242.41099999999997,17,212.171,4,3,4,6,102,0,1,1,0,0,1,0,0,0,1,0.9252000000000022,67.31,0.4786116984517885,7.067672
217.384,12,206.296,4,0,4,0,66,0,2,2,0,0,2,0,0,0,2,2.580280000000001,23.79,0.6221386273698806,5.1986895
162.254,10,148.14199999999997,3,1,3,5,60,0,0,0,0,0,0,0,0,0,0,1.4608999999999999,37.3,0.621792476755796,6.4476995
167.25600000000003,12,150.11999999999998,3,2,3,4,68,0,1,1,0,1,0,0,0,1,0,1.0046000000000004,64.39999999999999,0.2838403218349742,6.273877
219.237,15,202.10099999999997,6,2,6,0,88,0,1,1,0,0,1,0,0,0,1,0.9007999999999998,77.02,0.5893500449087128,8.12838
196.35899999999995,13,176.19899999999996,1,1,1,1,74,0,0,1,0,1,0,0,0,0,0,4.141500000000003,0.0,0.4726962994123103,5.1876144
210.36499999999998,15,184.15699999999998,2,1,2,1,88,0,0,1,0,0,1,0,0,0,0,3.1118000000000015,15.27,0.6689962767089784,6.135153
208.349,15,184.15699999999998,2,1,2,5,86,0,0,1,0,0,1,0,0,0,0,3.237000000000002,15.27,0.6977604746696913,5.861894
200.282,14,180.12199999999999,4,2,4,9,82,0,0,0,0,0,0,0,0,0,0,0.5793999999999997,53.849999999999994,0.4226564716202182,6.9219217
262.421,15,248.30899999999997,5,0,5,3,84,0,1,1,0,0,1,0,0,0,1,2.5277000000000003,26.3,0.5751126481800879,3.561932
199.29800000000003,14,178.12999999999997,2,2,4,7,82,0,0,0,0,0,0,0,0,0,0,1.98547,70.18,0.47744995285401265,5.3699894
197.36599999999996,14,170.14999999999998,1,1,1,1,84,0,1,1,0,0,1,0,0,0,1,3.448400000000002,12.03,0.6786979157673072,7.3339214
164.24799999999996,12,148.11999999999998,1,0,1,3,66,0,1,2,0,2,0,0,0,1,0,3.0370000000000017,9.23,0.5824488808141207,5.8268614
228.37999999999997,16,200.15599999999998,3,3,3,5,96,0,1,1,0,0,1,0,0,0,1,1.7218999999999998,44.29,0.4957863229402854,7.4039865
136.238,10,120.10999999999997,0,0,0,4,56,0,0,0,0,0,0,0,0,0,0,3.146200000000002,0.0,0.3162179167929173,6.805004
182.31099999999998,13,160.135,1,2,2,3,76,0,1,1,0,1,0,0,0,1,0,2.9189700000000016,49.870000000000005,0.5114546546050371,6.539547
208.32699999999997,13,188.16699999999997,4,3,5,5,80,0,1,1,0,0,1,0,0,0,1,-0.15789999999999937,56.51,0.5496935986957351,6.171731
183.295,13,162.12699999999995,1,0,2,3,76,0,0,1,0,0,1,0,0,0,0,2.899000000000002,23.06,0.4871141015966798,5.3258147
155.285,11,134.117,1,1,1,0,66,0,1,1,0,0,1,0,0,0,1,2.566300000000001,12.03,0.5666694896349046,7.9211793
207.38899999999998,11,194.285,4,0,4,3,64,0,2,2,0,0,2,0,0,0,2,2.1448,3.24,0.6520354512651547,5.982218
212.337,15,188.14499999999995,3,1,3,3,88,0,1,1,0,0,1,0,0,0,1,1.7624,46.33,0.7251242139059241,6.7234454
230.39999999999998,16,200.16,4,3,4,11,98,0,0,0,0,0,0,0,0,0,0,1.6351000000000007,53.31999999999999,0.286836773873704,7.216105
180.27700000000002,11,164.149,4,4,6,5,68,0,0,0,0,0,0,0,0,0,0,-0.5905299999999984,91.0,0.42613728633448866,6.5885196
200.14999999999998,12,186.03799999999998,5,3,7,7,74,0,0,0,0,0,0,0,0,0,0,-0.28750000000000003,76.74,0.29893411120728863,8.282169
216.285,15,196.125,6,4,6,3,88,0,2,2,0,0,2,0,0,0,2,-1.398299999999998,68.79,0.46523192110486467,7.249927
113.15999999999998,8,102.07199999999997,2,2,2,1,46,0,0,0,0,0,0,0,0,0,0,1.3107000000000002,46.25,0.39754930105355474,5.3218365
173.29999999999998,12,150.11599999999999,2,2,2,8,74,0,0,0,0,0,0,0,0,0,0,2.0566,46.25,0.5518238243604828,8.216883
217.27299999999997,15,198.12099999999998,7,3,7,3,88,0,1,1,0,0,1,0,0,0,1,-1.7573999999999965,105.96999999999998,0.48366095785733626,5.8835683
168.27999999999997,12,148.11999999999998,1,1,1,5,70,0,2,2,0,2,0,0,0,2,0,2.441100000000001,20.23,0.6682099961081286,8.75255
160.25699999999998,11,140.09699999999998,2,0,2,7,68,0,0,0,0,0,0,0,0,0,0,2.0856000000000003,18.46,0.5308241108503485,8.976278
231.34,16,206.13999999999996,5,4,5,7,96,0,1,1,0,0,1,0,0,0,1,0.5122000000000015,65.55,0.37975168600551795,7.7951
231.38599999999997,14,214.24999999999997,4,2,4,6,80,0,1,1,0,0,1,0,0,0,1,1.8143999999999996,21.259999999999998,0.3150393954820224,4.1314526
210.40499999999994,15,180.16499999999996,0,0,0,8,90,0,1,1,0,1,0,0,0,1,0,5.563300000000005,0.0,0.45982265189204874,9.495619
168.28400000000002,12,148.124,1,1,2,3,70,0,1,1,0,0,1,0,0,0,1,2.6381700000000006,27.090000000000003,0.6887902200187516,6.970228
154.257,11,136.11299999999997,2,1,2,2,64,0,0,1,0,0,1,0,0,0,0,1.3332,29.259999999999998,0.6499344393129406,6.6516137
