Unnamed: 0,SMILES,pred_gap,DFT_gap,RE
0,O=C1[C]2[C]C(=S)C=C21,1.8048238,2.6405925620212405,31.65080346138298
14,C=Nc1cc2ccc1N=CC=C2SC,1.9521871,4.095040958971316,52.32802016978131
20,O=CC=CC1=CC(C=O)=CNN=C1,1.8293439,2.775561019437,34.09102206043132
222,N=C1C=C2SN=C2C2=S1C=CC=C2,1.82812,2.2019450754200203,16.977039054832616
232,O=C1C=C2C3=CC=C3C3=CSC3=CC=S2N1,1.8990628,2.39677857443148,20.766030693909176
238,S=C1C=C=CC=CC=NC=CS1,1.9895917,3.4182938751144705,41.79576792725659
243,Cc1c2ccc3c1C2=C=[SH]SSSS3,1.9576755,1.63594831851522,19.66609689582237
250,CCSC1=[SH]C2=[SH]C(=C1S)CC2,1.9795842,4.1097351055448055,51.831829809926965
254,NNSSC1[SH]=S=CC=CC1=S,1.9807963,3.1742077736992753,37.59714419413867
409,NC1=CC=CC=C2C=CS(=S)C2=N1,1.601613,2.435146623817815,34.229299199692704
414,CSCC(=S)C1=C=CC=C=C1SS,1.8873018,2.6019523988094697,27.465936699551463
415,O=C1C=C2C=CC=CC=CN=CC=C12,1.9111534,3.255297693678905,41.29097920257638
417,N=[SH]12C=C1C=CC=CC2=S,1.7106663,2.73637662857436,37.4842526377208
420,C=C=Cc1cc2c(cc3cccc1-3)C=C2,1.996379,2.6449463832282,24.52100304720026
431,[C]=CC=C[C]CCC(C)=O,1.8578513,2.202217189245455,15.6372355518415
434,O=c1c2cc(c3cccccc1-3)C=N2,1.8631586,2.39079207027191,22.06940021395926
446,N=CSC1=NN=CC2N=CC2=C1,1.9620712,4.056128681934109,51.62699820794607
453,SN1C=CC2=CC=NC2=CC=CC=CN=C1,1.773083,3.252576555424555,45.486817303565005
460,O=C1C=CC=C2C=C[SH]=S12,1.8378844,3.61258314647506,49.12547821097775
461,O=C1C=C=C=c2cc3cccc-3ccc2=C1,1.9356244,2.2947358898933556,15.649360411147132
